指标名称,原油：常减压：独立炼厂：装置毛利：中国（周）,原油：炼油工序：毛利：中国：主营炼厂（周）,原油：炼油工序：毛利：山东：独立炼厂（周）,柴油：裂解：价差：中国：主营销售公司（日）,汽油：裂解：价差：中国：主营销售公司（日）,,,,
2019/01/04,485.974,454.86,#N/A,#N/A,#N/A,,,,
2019/01/05,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
2019/01/06,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
2019/01/07,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
2019/01/08,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
2019/01/09,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
2019/01/10,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
2019/01/11,230.58,335.49,#N/A,#N/A,#N/A,,,,
2019/01/12,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
2019/01/13,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
2019/01/14,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
2019/01/15,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
2019/01/16,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
2019/01/17,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
2019/01/18,360.979,301.62,#N/A,#N/A,#N/A,,,,
2019/01/19,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
2019/01/20,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
2019/01/21,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
2019/01/22,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
2019/01/23,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
2019/01/24,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
2019/01/25,174.626,205.09,#N/A,#N/A,#N/A,,,,
2019/01/26,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
2019/01/27,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
2019/01/28,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
