指标名称,美国:CPI:同比,美国:PPI:最终需求:同比:季调,欧元区:HICP(调和CPI):当月同比,欧元区20国:PPI:当月同比,中国:制造业PMI,中国:工业企业:利润总额:当月同比,中国:CPI:当月同比,中国:PPI:全部工业品:当月同比,中国:房地产开发投资完成额:累计同比,美国:拖欠率:信用卡消费贷款:所有商业银行:季调,美国:拖欠率:房地产贷款:所有商业银行:季调,中国:零售渗透率:新能源乘用车,中国:社会融资规模:当月值,中国:M1:同比,中国:M2:同比
2019/01,1.60 ,1.90 ,1.40 ,3.10 ,49.50 ,0.00 ,1.70 ,0.10 ,0.00 ,0.00 ,0.00 ,0.00 ,"46,791.14 ",0.40 ,8.40 
2019/02,1.50 ,1.80 ,1.50 ,3.00 ,49.20 ,0.00 ,1.50 ,0.10 ,11.60 ,0.00 ,0.00 ,0.00 ,"9,665.13 ",2.00 ,8.00 
2019/03,1.90 ,2.00 ,1.40 ,2.90 ,50.50 ,13.90 ,2.30 ,0.40 ,11.80 ,2.54 ,1.75 ,0.00 ,"29,602.34 ",4.60 ,8.60 
2019/04,2.00 ,2.30 ,1.70 ,2.60 ,50.10 ,-3.70 ,2.50 ,0.90 ,11.90 ,0.00 ,0.00 ,0.00 ,"16,709.54 ",2.90 ,8.50 
2019/05,1.80 ,2.10 ,1.20 ,1.70 ,49.40 ,1.10 ,2.70 ,0.60 ,11.20 ,0.00 ,0.00 ,0.00 ,"17,123.73 ",3.40 ,8.50 
2019/06,1.60 ,1.60 ,1.30 ,0.70 ,49.40 ,-3.10 ,2.70 ,0.00 ,10.90 ,2.59 ,1.68 ,0.00 ,"26,243.30 ",4.40 ,8.50 
2019/07,1.80 ,1.80 ,1.00 ,0.00 ,49.70 ,2.60 ,2.80 ,-0.30 ,10.60 ,0.00 ,0.00 ,0.00 ,"12,872.11 ",3.10 ,8.10 
2019/08,1.70 ,1.80 ,1.00 ,-0.80 ,49.50 ,-2.00 ,2.80 ,-0.80 ,10.50 ,0.00 ,0.00 ,0.00 ,"21,955.77 ",3.40 ,8.20 
2019/09,1.70 ,1.40 ,0.80 ,-1.20 ,49.80 ,-5.30 ,3.00 ,-1.20 ,10.50 ,2.60 ,1.59 ,0.00 ,"25,142.21 ",3.40 ,8.40 
2019/10,1.80 ,1.10 ,0.70 ,-2.00 ,49.30 ,-9.90 ,3.80 ,-1.60 ,10.30 ,0.00 ,0.00 ,0.00 ,"8,680.00 ",3.30 ,8.40 
2019/11,2.10 ,1.00 ,1.00 ,-1.50 ,50.20 ,5.40 ,4.50 ,-1.40 ,10.20 ,0.00 ,0.00 ,0.00 ,"19,936.92 ",3.50 ,8.20 
2019/12,2.30 ,1.40 ,1.30 ,-0.80 ,50.20 ,-6.30 ,4.50 ,-0.50 ,9.90 ,2.61 ,1.53 ,4.90 ,"22,013.00 ",4.40 ,8.70 
2020/01,2.50 ,1.90 ,1.40 ,-0.90 ,50.00 ,0.00 ,5.40 ,0.10 ,0.00 ,0.00 ,0.00 ,0.00 ,"50,535.00 ",0.00 ,8.40 
2020/02,2.30 ,1.20 ,1.20 ,-1.40 ,35.70 ,0.00 ,5.20 ,-0.40 ,-16.30 ,0.00 ,0.00 ,0.00 ,"8,737.00 ",4.80 ,8.80 
2020/03,1.50 ,0.30 ,0.70 ,-2.80 ,52.00 ,-34.90 ,4.30 ,-1.50 ,-7.70 ,2.70 ,1.62 ,0.00 ,"51,838.00 ",5.00 ,10.10 
2020/04,0.30 ,-1.40 ,0.30 ,-4.60 ,50.80 ,-4.30 ,3.30 ,-3.10 ,-3.30 ,0.00 ,0.00 ,0.00 ,"31,027.00 ",5.50 ,11.10 
2020/05,0.10 ,-0.90 ,0.10 ,-5.00 ,50.60 ,6.00 ,2.40 ,-3.70 ,-0.30 ,0.00 ,0.00 ,0.00 ,"31,866.00 ",6.80 ,11.10 
2020/06,0.60 ,-0.60 ,0.30 ,-3.70 ,50.90 ,11.50 ,2.50 ,-3.00 ,1.90 ,2.44 ,1.75 ,0.00 ,"34,681.00 ",6.50 ,11.10 
2020/07,1.00 ,-0.30 ,0.40 ,-3.20 ,51.10 ,19.60 ,2.70 ,-2.40 ,3.40 ,0.00 ,0.00 ,0.00 ,"16,928.00 ",6.90 ,10.70 
2020/08,1.30 ,-0.20 ,-0.20 ,-2.60 ,51.00 ,19.10 ,2.40 ,-2.00 ,4.60 ,0.00 ,0.00 ,0.00 ,"35,853.00 ",8.00 ,10.40 
2020/09,1.40 ,0.40 ,-0.30 ,-2.40 ,51.50 ,10.10 ,1.70 ,-2.10 ,5.60 ,1.99 ,1.92 ,0.00 ,"34,693.00 ",8.10 ,10.90 
2020/10,1.20 ,0.50 ,-0.30 ,-2.10 ,51.40 ,28.20 ,0.50 ,-2.10 ,6.30 ,0.00 ,0.00 ,0.00 ,"13,929.00 ",9.10 ,10.50 
2020/11,1.20 ,0.80 ,-0.30 ,-1.90 ,52.10 ,15.50 ,-0.50 ,-1.50 ,6.80 ,0.00 ,0.00 ,0.00 ,"21,355.00 ",10.00 ,10.70 
2020/12,1.40 ,0.80 ,-0.30 ,-1.10 ,51.90 ,20.10 ,0.20 ,-0.40 ,7.00 ,2.10 ,1.92 ,5.80 ,"17,192.00 ",8.60 ,10.10 
2021/01,1.40 ,1.70 ,0.90 ,0.90 ,51.30 ,0.00 ,-0.30 ,0.30 ,0.00 ,0.00 ,0.00 ,0.00 ,"51,884.00 ",14.70 ,9.40 
2021/02,1.70 ,2.90 ,0.90 ,2.00 ,50.60 ,0.00 ,-0.20 ,1.70 ,38.30 ,0.00 ,0.00 ,0.00 ,"17,243.00 ",7.40 ,10.10 
2021/03,2.60 ,4.10 ,1.30 ,4.80 ,51.90 ,92.30 ,0.40 ,4.40 ,25.60 ,1.89 ,1.84 ,0.00 ,"33,762.00 ",7.10 ,9.40 
2021/04,4.20 ,6.40 ,1.60 ,8.10 ,51.10 ,57.00 ,0.90 ,6.80 ,21.60 ,0.00 ,0.00 ,0.00 ,"18,570.00 ",6.20 ,8.10 
2021/05,5.00 ,6.90 ,2.00 ,10.00 ,51.00 ,36.40 ,1.30 ,9.00 ,18.30 ,0.00 ,0.00 ,0.00 ,"19,522.00 ",6.10 ,8.30 
2021/06,5.40 ,7.40 ,1.90 ,10.70 ,50.90 ,20.00 ,1.10 ,8.80 ,15.00 ,1.59 ,1.69 ,0.00 ,"37,017.00 ",5.50 ,8.60 
2021/07,5.40 ,7.90 ,2.20 ,12.40 ,50.40 ,16.40 ,1.00 ,9.00 ,12.70 ,0.00 ,0.00 ,0.00 ,"10,752.00 ",4.90 ,8.30 
2021/08,5.30 ,8.60 ,3.00 ,13.30 ,50.10 ,10.10 ,0.80 ,9.50 ,10.90 ,0.00 ,0.00 ,0.00 ,"29,893.00 ",4.20 ,8.20 
2021/09,5.40 ,8.80 ,3.40 ,15.60 ,49.60 ,16.30 ,0.70 ,10.70 ,8.80 ,1.53 ,1.56 ,0.00 ,"29,026.00 ",3.70 ,8.30 
2021/10,6.20 ,8.90 ,4.10 ,21.10 ,49.20 ,24.60 ,1.50 ,13.50 ,7.20 ,0.00 ,0.00 ,0.00 ,"16,176.00 ",2.80 ,8.70 
2021/11,6.80 ,10.00 ,4.90 ,22.50 ,50.10 ,9.00 ,2.30 ,12.90 ,6.00 ,0.00 ,0.00 ,0.00 ,"25,983.00 ",3.00 ,8.50 
2021/12,7.00 ,10.20 ,5.00 ,24.70 ,50.30 ,4.20 ,1.50 ,10.30 ,4.40 ,1.57 ,1.51 ,14.80 ,"23,580.00 ",3.50 ,9.00 
2022/01,7.50 ,10.20 ,5.10 ,29.10 ,50.10 ,0.00 ,0.90 ,9.10 ,0.00 ,0.00 ,0.00 ,0.00 ,"61,759.00 ",-1.90 ,9.80 
