ID,期货代码,日期,开盘价,最高价,最低价,收盘价,结算价,成交量,持仓量
1,L.DCE,2019-01-02,8620.0,8625.0,8460.0,8490,8530,260384,498504
2,L.DCE,2019-01-03,8540.0,8555.0,8450.0,8480,8495,226280,499578
3,L.DCE,2019-01-04,8500.0,8650.0,8470.0,8645,8555,348942,470882
4,L.DCE,2019-01-07,8655.0,8685.0,8620.0,8655,8645,263938,477070
5,L.DCE,2019-01-08,8670.0,8675.0,8585.0,8595,8625,225704,485722
6,L.DCE,2019-01-09,8620.0,8655.0,8565.0,8565,8620,274712,482814
7,L.DCE,2019-01-10,8600.0,8610.0,8520.0,8535,8570,248736,481038
8,L.DCE,2019-01-11,8540.0,8615.0,8525.0,8610,8560,212544,461500
9,L.DCE,2019-01-14,8610.0,8645.0,8555.0,8580,8605,273570,462378
10,L.DCE,2019-01-15,8585.0,8590.0,8535.0,8575,8560,208778,470146
11,L.DCE,2019-01-16,8590.0,8695.0,8535.0,8655,8610,323388,452678
12,L.DCE,2019-01-17,8655.0,8710.0,8640.0,8680,8675,241358,450530
13,L.DCE,2019-01-18,8710.0,8785.0,8680.0,8780,8740,296648,451288
14,L.DCE,2019-01-21,8810.0,8830.0,8740.0,8790,8775,312004,443932
15,L.DCE,2019-01-22,8800.0,8830.0,8690.0,8695,8760,322594,435312
16,L.DCE,2019-01-23,8690.0,8735.0,8660.0,8725,8700,191404,428094
17,L.DCE,2019-01-24,8735.0,8735.0,8640.0,8685,8680,201706,431540
18,L.DCE,2019-01-25,8700.0,8770.0,8690.0,8700,8730,253122,430648
19,L.DCE,2019-01-28,8720.0,8730.0,8655.0,8665,8700,194588,429926
20,L.DCE,2019-01-29,8640.0,8655.0,8580.0,8610,8615,236234,412566
21,L.DCE,2019-01-30,8625.0,8785.0,8620.0,8735,8710,347332,401668
22,L.DCE,2019-01-31,8770.0,8800.0,8745.0,8785,8770,172622,397968
23,L.DCE,2019-02-01,8745.0,8815.0,8745.0,8780,8775,172324,391366
24,L.DCE,2019-02-11,8775.0,8810.0,8565.0,8585,8690,338078,411814
25,L.DCE,2019-02-12,8605.0,8635.0,8580.0,8595,8605,211340,431472
26,L.DCE,2019-02-13,8585.0,8595.0,8485.0,8490,8535,303744,455446
27,L.DCE,2019-02-14,8500.0,8575.0,8490.0,8565,8535,193980,445594
28,L.DCE,2019-02-15,8560.0,8585.0,8445.0,8505,8515,276054,456932
29,L.DCE,2019-02-18,8550.0,8575.0,8480.0,8535,8530,248124,451844
30,L.DCE,2019-02-19,8555.0,8700.0,8535.0,8695,8615,325832,430532
31,L.DCE,2019-02-20,8700.0,8750.0,8670.0,8730,8705,246556,429318
32,L.DCE,2019-02-21,8765.0,8770.0,8660.0,8690,8700,217030,423114
33,L.DCE,2019-02-22,8685.0,8730.0,8680.0,8705,8710,153114,424890
34,L.DCE,2019-02-25,8710.0,8725.0,8625.0,8635,8670,196932,424058
35,L.DCE,2019-02-26,8615.0,8690.0,8595.0,8690,8650,156712,416104
36,L.DCE,2019-02-27,8695.0,8700.0,8590.0,8615,8655,173884,416412
37,L.DCE,2019-02-28,8635.0,8635.0,8555.0,8580,8590,222262,413566
38,L.DCE,2019-03-01,8605.0,8735.0,8570.0,8730,8635,301364,415116
39,L.DCE,2019-03-04,8705.0,8820.0,8685.0,8750,8765,386054,399744
