ID,证券代码,日期,开盘价,最高价,最低价,收盘价,结算价,成交量,持仓量
1,PP.DCE,2019/01/02,8605.0000,8642.0000,8460.0000,8471.0000,8532.0000,518442.0000,457880.0000
2,PP.DCE,2019/01/03,8524.0000,8556.0000,8483.0000,8511.0000,8516.0000,437238.0000,451202.0000
3,PP.DCE,2019/01/04,8534.0000,8720.0000,8489.0000,8707.0000,8601.0000,782810.0000,462044.0000
4,PP.DCE,2019/01/07,8726.0000,8772.0000,8686.0000,8746.0000,8729.0000,483168.0000,477702.0000
5,PP.DCE,2019/01/08,8750.0000,8778.0000,8610.0000,8618.0000,8669.0000,503310.0000,466830.0000
6,PP.DCE,2019/01/09,8663.0000,8742.0000,8651.0000,8671.0000,8696.0000,516166.0000,460958.0000
7,PP.DCE,2019/01/10,8700.0000,8714.0000,8607.0000,8621.0000,8656.0000,493192.0000,452078.0000
8,PP.DCE,2019/01/11,8621.0000,8735.0000,8595.0000,8725.0000,8669.0000,520592.0000,466754.0000
9,PP.DCE,2019/01/14,8710.0000,8750.0000,8576.0000,8585.0000,8652.0000,609344.0000,458654.0000
10,PP.DCE,2019/01/15,8560.0000,8648.0000,8550.0000,8635.0000,8608.0000,451736.0000,445492.0000
11,PP.DCE,2019/01/16,8642.0000,8785.0000,8622.0000,8776.0000,8707.0000,638830.0000,486858.0000
12,PP.DCE,2019/01/17,8763.0000,8818.0000,8742.0000,8765.0000,8775.0000,517948.0000,481314.0000
13,PP.DCE,2019/01/18,8780.0000,8899.0000,8754.0000,8866.0000,8837.0000,621038.0000,499866.0000
14,PP.DCE,2019/01/21,8920.0000,8950.0000,8840.0000,8889.0000,8901.0000,594492.0000,490266.0000
15,PP.DCE,2019/01/22,8890.0000,8986.0000,8754.0000,8772.0000,8866.0000,609490.0000,466262.0000
16,PP.DCE,2019/01/23,8752.0000,8832.0000,8728.0000,8820.0000,8788.0000,353286.0000,466730.0000
17,PP.DCE,2019/01/24,8792.0000,8816.0000,8696.0000,8765.0000,8751.0000,400212.0000,453750.0000
18,PP.DCE,2019/01/25,8806.0000,8874.0000,8718.0000,8730.0000,8802.0000,559556.0000,466004.0000
19,PP.DCE,2019/01/28,8751.0000,8807.0000,8701.0000,8739.0000,8755.0000,399458.0000,452766.0000
20,PP.DCE,2019/01/29,8700.0000,8716.0000,8620.0000,8630.0000,8664.0000,503078.0000,449940.0000
21,PP.DCE,2019/01/30,8664.0000,8869.0000,8663.0000,8825.0000,8778.0000,627662.0000,447528.0000
22,PP.DCE,2019/01/31,8852.0000,8900.0000,8806.0000,8863.0000,8860.0000,380046.0000,425556.0000
23,PP.DCE,2019/02/01,8866.0000,8920.0000,8812.0000,8895.0000,8864.0000,324720.0000,405598.0000
24,PP.DCE,2019/02/11,8880.0000,8929.0000,8715.0000,8757.0000,8790.0000,453344.0000,386610.0000
25,PP.DCE,2019/02/12,8770.0000,8800.0000,8723.0000,8740.0000,8761.0000,345144.0000,398714.0000
26,PP.DCE,2019/02/13,8710.0000,8750.0000,8582.0000,8618.0000,8667.0000,491538.0000,420716.0000
27,PP.DCE,2019/02/14,8620.0000,8689.0000,8605.0000,8673.0000,8644.0000,341572.0000,417634.0000
28,PP.DCE,2019/02/15,8640.0000,8707.0000,8593.0000,8608.0000,8644.0000,468984.0000,416992.0000
29,PP.DCE,2019/02/18,8690.0000,8724.0000,8565.0000,8643.0000,8640.0000,502400.0000,425686.0000
30,PP.DCE,2019/02/19,8666.0000,8828.0000,8626.0000,8822.0000,8725.0000,578012.0000,460530.0000
31,PP.DCE,2019/02/20,8820.0000,8844.0000,8772.0000,8832.0000,8806.0000,399794.0000,448124.0000
32,PP.DCE,2019/02/21,8880.0000,8889.0000,8770.0000,8809.0000,8818.0000,425764.0000,444264.0000
33,PP.DCE,2019/02/22,8800.0000,8835.0000,8767.0000,8784.0000,8797.0000,321180.0000,430286.0000
34,PP.DCE,2019/02/25,8775.0000,8816.0000,8691.0000,8691.0000,8745.0000,470702.0000,437852.0000
35,PP.DCE,2019/02/26,8648.0000,8787.0000,8641.0000,8787.0000,8729.0000,370020.0000,426450.0000
36,PP.DCE,2019/02/27,8787.0000,8800.0000,8663.0000,8680.0000,8743.0000,346006.0000,417308.0000
37,PP.DCE,2019/02/28,8690.0000,8723.0000,8621.0000,8657.0000,8664.0000,440016.0000,423792.0000
38,PP.DCE,2019/03/01,8688.0000,8850.0000,8650.0000,8849.0000,8730.0000,591958.0000,434818.0000
39,PP.DCE,2019/03/04,8804.0000,8962.0000,8801.0000,8936.0000,8900.0000,636758.0000,456880.0000
40,PP.DCE,2019/03/05,8900.0000,8928.0000,8862.0000,8895.0000,8893.0000,377442.0000,437454.0000
41,PP.DCE,2019/03/06,8860.0000,8975.0000,8848.0000,8927.0000,8908.0000,524350.0000,443466.0000
42,PP.DCE,2019/03/07,8908.0000,8924.0000,8805.0000,8808.0000,8849.0000,416434.0000,406506.0000
43,PP.DCE,2019/03/08,8760.0000,8783.0000,8713.0000,8728.0000,8745.0000,395248.0000,398478.0000
44,PP.DCE,2019/03/11,8737.0000,8800.0000,8697.0000,8795.0000,8750.0000,404780.0000,400668.0000
45,PP.DCE,2019/03/12,8806.0000,8876.0000,8772.0000,8834.0000,8831.0000,408886.0000,395140.0000
46,PP.DCE,2019/03/13,8828.0000,8871.0000,8806.0000,8837.0000,8834.0000,313954.0000,399798.0000
47,PP.DCE,2019/03/14,8862.0000,8882.0000,8730.0000,8739.0000,8805.0000,484196.0000,391968.0000
48,PP.DCE,2019/03/15,8700.0000,8746.0000,8616.0000,8633.0000,8683.0000,546016.0000,380632.0000
49,PP.DCE,2019/03/18,8620.0000,8633.0000,8435.0000,8452.0000,8524.0000,569934.0000,433180.0000
50,PP.DCE,2019/03/19,8474.0000,8538.0000,8466.0000,8507.0000,8508.0000,361330.0000,437806.0000
51,PP.DCE,2019/03/20,8500.0000,8548.0000,8478.0000,8512.0000,8512.0000,329522.0000,418544.0000
52,PP.DCE,2019/03/21,8541.0000,8615.0000,8533.0000,8581.0000,8579.0000,349096.0000,401478.0000
53,PP.DCE,2019/03/22,8556.0000,8649.0000,8540.0000,8607.0000,8590.0000,370144.0000,385286.0000
54,PP.DCE,2019/03/25,8570.0000,8649.0000,8512.0000,8635.0000,8593.0000,418494.0000,382982.0000
55,PP.DCE,2019/03/26,8670.0000,8672.0000,8562.0000,8602.0000,8596.0000,395006.0000,344532.0000
56,PP.DCE,2019/03/27,8600.0000,8644.0000,8575.0000,8603.0000,8613.0000,314196.0000,337882.0000
57,PP.DCE,2019/03/28,8598.0000,8633.0000,8490.0000,8523.0000,8557.0000,424608.0000,363004.0000
58,PP.DCE,2019/03/29,8532.0000,8639.0000,8498.0000,8604.0000,8584.0000,486444.0000,336896.0000
59,PP.DCE,2019/04/01,8641.0000,8749.0000,8559.0000,8743.0000,8679.0000,563232.0000,348328.0000
60,PP.DCE,2019/04/02,8748.0000,8796.0000,8724.0000,8741.0000,8756.0000,409988.0000,312688.0000
61,PP.DCE,2019/04/03,8741.0000,8878.0000,8721.0000,8827.0000,8825.0000,494030.0000,296468.0000
62,PP.DCE,2019/04/04,8840.0000,8840.0000,8762.0000,8814.0000,8798.0000,315272.0000,264516.0000
63,PP.DCE,2019/04/08,8602.0000,8861.0000,8600.0000,8810.0000,8778.0000,496932.0000,331076.0000
64,PP.DCE,2019/04/09,8815.0000,8858.0000,8721.0000,8760.0000,8787.0000,549784.0000,394856.0000
65,PP.DCE,2019/04/10,8760.0000,8828.0000,8727.0000,8781.0000,8773.0000,469250.0000,428824.0000
66,PP.DCE,2019/04/11,8780.0000,8826.0000,8751.0000,8807.0000,8784.0000,504988.0000,450560.0000
67,PP.DCE,2019/04/12,8808.0000,8845.0000,8673.0000,8814.0000,8766.0000,713656.0000,435484.0000
68,PP.DCE,2019/04/15,8866.0000,8890.0000,8708.0000,8730.0000,8777.0000,566288.0000,430108.0000
69,PP.DCE,2019/04/16,8724.0000,8762.0000,8657.0000,8713.0000,8715.0000,460674.0000,422744.0000
70,PP.DCE,2019/04/17,8708.0000,8770.0000,8685.0000,8715.0000,8726.0000,448548.0000,440574.0000
71,PP.DCE,2019/04/18,8735.0000,8747.0000,8620.0000,8624.0000,8686.0000,764896.0000,453266.0000
72,PP.DCE,2019/04/19,8624.0000,8670.0000,8595.0000,8649.0000,8635.0000,495118.0000,450510.0000
73,PP.DCE,2019/04/22,8649.0000,8765.0000,8633.0000,8643.0000,8688.0000,618304.0000,463298.0000
74,PP.DCE,2019/04/23,8640.0000,8698.0000,8620.0000,8690.0000,8660.0000,481746.0000,479052.0000
75,PP.DCE,2019/04/24,8685.0000,8734.0000,8654.0000,8672.0000,8693.0000,688596.0000,476268.0000
76,PP.DCE,2019/04/25,8680.0000,8715.0000,8611.0000,8623.0000,8647.0000,634686.0000,483610.0000
77,PP.DCE,2019/04/26,8636.0000,8662.0000,8553.0000,8578.0000,8603.0000,632514.0000,473048.0000
78,PP.DCE,2019/04/29,8570.0000,8630.0000,8561.0000,8605.0000,8601.0000,400782.0000,458984.0000
79,PP.DCE,2019/04/30,8604.0000,8685.0000,8575.0000,8682.0000,8637.0000,475428.0000,442276.0000
80,PP.DCE,2019/05/06,8580.0000,8635.0000,8558.0000,8602.0000,8601.0000,412762.0000,433316.0000
81,PP.DCE,2019/05/07,8611.0000,8668.0000,8573.0000,8651.0000,8630.0000,524870.0000,462562.0000
82,PP.DCE,2019/05/08,8637.0000,8649.0000,8496.0000,8501.0000,8563.0000,817650.0000,486236.0000
83,PP.DCE,2019/05/09,8496.0000,8498.0000,8370.0000,8404.0000,8440.0000,716148.0000,528936.0000
84,PP.DCE,2019/05/10,8398.0000,8482.0000,8383.0000,8448.0000,8434.0000,603576.0000,502484.0000
85,PP.DCE,2019/05/13,8435.0000,8474.0000,8316.0000,8342.0000,8378.0000,574332.0000,538850.0000
86,PP.DCE,2019/05/14,8355.0000,8370.0000,8056.0000,8137.0000,8203.0000,1032758.0000,613176.0000
