ID,指标名称,日期,开盘价,最高价,最低价,收盘价,结算价,成交量,持仓量,
1,CZCE：PX：主力合约,2023/09/15,10000,10050,9410,9468,9620,235242,30735,
2,CZCE：PX：主力合约,2023/09/18,9450,9468,9290,9346,9374,123567,35656,
3,CZCE：PX：主力合约,2023/09/19,9370,9436,9290,9326,9364,98362,38861,
4,CZCE：PX：主力合约,2023/09/20,9358,9564,9254,9310,9414,217136,47627,
5,CZCE：PX：主力合约,2023/09/21,9344,9346,9132,9134,9238,100829,45964,
6,CZCE：PX：主力合约,2023/09/22,9172,9280,9162,9218,9224,85025,42487,
7,CZCE：PX：主力合约,2023/09/25,9254,9300,9066,9130,9168,85762,42236,
8,CZCE：PX：主力合约,2023/09/26,9120,9130,8890,8930,9022,81098,46773,
9,CZCE：PX：主力合约,2023/09/27,8950,9040,8912,8980,8976,48233,41127,
10,CZCE：PX：主力合约,2023/09/28,9018,9166,8968,9006,9074,60168,33209,
11,CZCE：PX：主力合约,2023/10/09,8746,8826,8586,8620,8680,53455,43936,
12,CZCE：PX：主力合约,2023/10/10,8640,8650,8488,8500,8570,52618,47778,
13,CZCE：PX：主力合约,2023/10/11,8506,8526,8404,8458,8458,74368,53859,
14,CZCE：PX：主力合约,2023/10/12,8438,8462,8292,8390,8368,83094,60530,
15,CZCE：PX：主力合约,2023/10/13,8436,8486,8316,8404,8400,91310,62214,
16,CZCE：PX：主力合约,2023/10/16,8502,8518,8402,8444,8466,90508,63872,
17,CZCE：PX：主力合约,2023/10/17,8460,8506,8280,8362,8398,81194,66189,
18,CZCE：PX：主力合约,2023/10/18,8332,8498,8332,8420,8436,86598,66680,
19,CZCE：PX：主力合约,2023/10/19,8402,8466,8318,8400,8396,78807,66750,
20,CZCE：PX：主力合约,2023/10/20,8388,8530,8350,8410,8448,90202,63958,
21,CZCE：PX：主力合约,2023/10/23,8406,8432,8234,8318,8324,81920,65595,
22,CZCE：PX：主力合约,2023/10/24,8336,8544,8298,8530,8400,89732,65482,
23,CZCE：PX：主力合约,2023/10/25,8500,8590,8406,8460,8482,164517,67143,
24,CZCE：PX：主力合约,2023/10/26,8480,8564,8464,8510,8502,71013,65909,
25,CZCE：PX：主力合约,2023/10/27,8474,8596,8430,8554,8498,91193,63537,
26,CZCE：PX：主力合约,2023/10/30,8552,8668,8520,8630,8596,72051,65204,
27,CZCE：PX：主力合约,2023/10/31,8614,8688,8506,8638,8610,84397,64595,
28,CZCE：PX：主力合约,2023/11/01,8624,8668,8566,8596,8618,56331,62918,
29,CZCE：PX：主力合约,2023/11/02,8650,8650,8500,8564,8568,47360,61475,
30,CZCE：PX：主力合约,2023/11/03,8574,8696,8550,8652,8626,52730,60070,
31,CZCE：PX：主力合约,2023/11/06,8666,8700,8502,8558,8574,97422,67820,
32,CZCE：PX：主力合约,2023/11/07,8570,8616,8466,8496,8556,69903,66215,
33,CZCE：PX：主力合约,2023/11/08,8478,8492,8352,8462,8434,71098,69082,
34,CZCE：PX：主力合约,2023/11/09,8428,8562,8380,8432,8480,80455,72143,
35,CZCE：PX：主力合约,2023/11/10,8450,8528,8426,8470,8476,59710,74406,
36,CZCE：PX：主力合约,2023/11/13,8498,8538,8378,8452,8448,65886,72019,
37,CZCE：PX：主力合约,2023/11/14,8466,8606,8426,8566,8528,63398,73646,
38,CZCE：PX：主力合约,2023/11/15,8540,8628,8528,8624,8576,55339,74552,
39,CZCE：PX：主力合约,2023/11/16,8608,8780,8544,8778,8634,63921,79027,
40,CZCE：PX：主力合约,2023/11/17,8776,8840,8630,8672,8736,113920,84522,
41,CZCE：PX：主力合约,2023/11/20,8694,8772,8648,8708,8712,67124,89060,
42,CZCE：PX：主力合约,2023/11/21,8722,8762,8430,8452,8594,81928,81361,
43,CZCE：PX：主力合约,2023/11/22,8466,8510,8388,8416,8456,54777,77388,
44,CZCE：PX：主力合约,2023/11/23,8400,8448,8324,8410,8384,45119,76719,
45,CZCE：PX：主力合约,2023/11/24,8410,8448,8368,8408,8408,36107,76379,
46,CZCE：PX：主力合约,2023/11/27,8404,8430,8272,8298,8328,70021,77447,
47,CZCE：PX：主力合约,2023/11/28,8296,8328,8252,8258,8290,37103,77765,
48,CZCE：PX：主力合约,2023/11/29,8280,8330,8206,8254,8268,60764,79137,
49,CZCE：PX：主力合约,2023/11/30,8272,8476,8262,8442,8356,91686,69619,
50,CZCE：PX：主力合约,2023/12/01,8446,8484,8262,8318,8378,63217,66977,
51,CZCE：PX：主力合约,2023/12/04,8320,8402,8252,8278,8328,50667,67580,
52,CZCE：PX：主力合约,2023/12/05,8280,8310,8190,8274,8254,48732,68428,
53,CZCE：PX：主力合约,2023/12/06,8270,8342,8110,8310,8224,84547,70213,
54,CZCE：PX：主力合约,2023/12/07,8290,8310,8170,8270,8254,50637,69488,
55,CZCE：PX：主力合约,2023/12/08,8246,8394,8244,8338,8338,57559,71805,
56,CZCE：PX：主力合约,2023/12/11,8340,8386,8282,8336,8346,57392,73709,
57,CZCE：PX：主力合约,2023/12/12,8326,8426,8268,8356,8354,72177,78311,
58,CZCE：PX：主力合约,2023/12/13,8346,8358,8132,8136,8226,97062,94084,
59,CZCE：PX：主力合约,2023/12/14,8160,8214,8092,8098,8154,82413,103337,
60,CZCE：PX：主力合约,2023/12/15,8160,8300,8132,8244,8220,89144,85609,
61,CZCE：PX：主力合约,2023/12/18,8260,8330,8200,8308,8262,47826,82096,
62,CZCE：PX：主力合约,2023/12/19,8300,8378,8300,8318,8342,41594,79041,
63,CZCE：PX：主力合约,2023/12/20,8322,8512,8320,8492,8424,63446,82436,
64,CZCE：PX：主力合约,2023/12/21,8512,8614,8450,8598,8524,78399,80557,
65,CZCE：PX：主力合约,2023/12/22,8580,8674,8530,8604,8598,80112,80780,
66,CZCE：PX：主力合约,2023/12/25,8614,8626,8498,8570,8560,57315,81522,
67,CZCE：PX：主力合约,2023/12/26,8568,8620,8530,8544,8570,43853,82282,
68,CZCE：PX：主力合约,2023/12/27,8558,8662,8546,8648,8620,59599,86972,
69,CZCE：PX：主力合约,2023/12/28,8648,8724,8588,8674,8654,63938,90250,
70,CZCE：PX：主力合约,2023/12/29,8650,8666,8532,8590,8590,53743,89466,
71,CZCE：PX：主力合约,2024/01/02,8602,8742,8592,8614,8660,48313,89678,
72,CZCE：PX：主力合约,2024/01/03,8602,8670,8478,8522,8552,60611,90417,
73,CZCE：PX：主力合约,2024/01/04,8540,8638,8500,8528,8560,61505,93080,
74,CZCE：PX：主力合约,2024/01/05,8526,8600,8452,8558,8522,71390,93058,
75,CZCE：PX：主力合约,2024/01/08,8548,8646,8362,8370,8496,105868,87007,
76,CZCE：PX：主力合约,2024/01/09,8352,8362,8266,8274,8316,62475,88006,
77,CZCE：PX：主力合约,2024/01/10,8322,8372,8300,8318,8332,56514,81247,
78,CZCE：PX：主力合约,2024/01/11,8328,8360,8250,8314,8306,55927,81898,
79,CZCE：PX：主力合约,2024/01/12,8336,8428,8308,8364,8370,59450,83351,
80,CZCE：PX：主力合约,2024/01/15,8366,8432,8320,8360,8378,52342,81419,
81,CZCE：PX：主力合约,2024/01/16,8338,8478,8316,8440,8418,59446,82780,
82,CZCE：PX：主力合约,2024/01/17,8450,8480,8396,8428,8440,52230,77738,
83,CZCE：PX：主力合约,2024/01/18,8406,8518,8374,8474,8462,66650,79803,
84,CZCE：PX：主力合约,2024/01/19,8468,8576,8460,8566,8518,50111,83054,
85,CZCE：PX：主力合约,2024/01/22,8530,8614,8510,8592,8570,57163,81167,
86,CZCE：PX：主力合约,2024/01/23,8596,8670,8540,8662,8606,44181,84592,
87,CZCE：PX：主力合约,2024/01/24,8646,8754,8634,8730,8684,59445,92616,
88,CZCE：PX：主力合约,2024/01/25,8720,8750,8600,8610,8664,89796,90362,
89,CZCE：PX：主力合约,2024/01/26,8620,8748,8620,8670,8672,71550,90241,
90,CZCE：PX：主力合约,2024/01/29,8670,8718,8610,8660,8662,45824,87156,
91,CZCE：PX：主力合约,2024/01/30,8660,8670,8592,8654,8632,38583,85493,
92,CZCE：PX：主力合约,2024/01/31,8636,8670,8550,8598,8594,50904,85960,
93,CZCE：PX：主力合约,2024/02/01,8598,8602,8450,8462,8518,58129,87450,
94,CZCE：PX：主力合约,2024/02/02,8462,8480,8366,8412,8424,49383,86048,
95,CZCE：PX：主力合约,2024/02/05,8410,8438,8360,8404,8394,35129,84084,
96,CZCE：PX：主力合约,2024/02/06,8392,8478,8372,8454,8424,30981,82010,
97,CZCE：PX：主力合约,2024/02/07,8466,8508,8436,8476,8472,31497,81923,
98,CZCE：PX：主力合约,2024/02/08,8488,8550,8456,8480,8500,35348,79641,
99,CZCE：PX：主力合约,2024/02/19,8546,8628,8530,8550,8586,36955,83047,
100,CZCE：PX：主力合约,2024/02/20,8570,8594,8460,8506,8544,44176,85290,
101,CZCE：PX：主力合约,2024/02/21,8486,8582,8460,8522,8518,49907,85751,
102,CZCE：PX：主力合约,2024/02/22,8520,8620,8500,8592,8572,46061,89911,
103,CZCE：PX：主力合约,2024/02/23,8578,8648,8532,8550,8596,56402,91163,
104,CZCE：PX：主力合约,2024/02/26,8540,8590,8478,8488,8532,54079,90847,
105,CZCE：PX：主力合约,2024/02/27,8488,8608,8466,8598,8538,48334,92953,
106,CZCE：PX：主力合约,2024/02/28,8594,8660,8572,8596,8616,51613,92809,
107,CZCE：PX：主力合约,2024/02/29,8600,8638,8554,8606,8598,45740,96764,
108,CZCE：PX：主力合约,2024/03/01,8612,8620,8520,8562,8562,42730,96633,
109,CZCE：PX：主力合约,2024/03/04,8588,8650,8492,8520,8572,80857,97035,
110,CZCE：PX：主力合约,2024/03/05,8520,8522,8350,8360,8420,100914,110687,
111,CZCE：PX：主力合约,2024/03/06,8372,8448,8362,8416,8402,79788,93218,
112,CZCE：PX：主力合约,2024/03/07,8416,8430,8360,8378,8396,38111,97689,
113,CZCE：PX：主力合约,2024/03/08,8344,8368,8306,8334,8332,79231,109221,
114,CZCE：PX：主力合约,2024/03/11,8308,8362,8266,8316,8308,56635,110484,
115,CZCE：PX：主力合约,2024/03/12,8320,8380,8302,8322,8336,49543,110961,
116,CZCE：PX：主力合约,2024/03/13,8318,8350,8292,8324,8322,41579,108903,
117,CZCE：PX：主力合约,2024/03/14,8372,8464,8320,8458,8394,80252,97561,
118,CZCE：PX：主力合约,2024/03/15,8480,8558,8460,8520,8516,83699,86857,
119,CZCE：PX：主力合约,2024/03/18,8510,8536,8436,8522,8494,52668,81494,
120,CZCE：PX：主力合约,2024/03/19,8520,8580,8508,8562,8548,47727,78883,
121,CZCE：PX：主力合约,2024/03/20,8582,8582,8460,8462,8512,40883,78415,
122,CZCE：PX：主力合约,2024/03/21,8418,8418,8302,8330,8348,73651,74142,
123,CZCE：PX：主力合约,2024/03/22,8326,8368,8308,8344,8336,34906,74514,
124,CZCE：PX：主力合约,2024/03/25,8372,8424,8348,8358,8382,51699,72549,
125,CZCE：PX：主力合约,2024/03/26,8384,8458,8368,8374,8414,44210,68552,
126,CZCE：PX：主力合约,2024/03/27,8418,8476,8404,8430,8444,52600,64773,
127,CZCE：PX：主力合约,2024/03/28,8424,8510,8400,8478,8464,35291,63000,
128,CZCE：PX：主力合约,2024/03/29,8504,8520,8424,8444,8472,33151,58574,
129,CZCE：PX：主力合约,2024/04/01,8460,8550,8428,8528,8500,35019,55527,
130,CZCE：PX：主力合约,2024/04/02,8518,8644,8502,8630,8578,41097,57218,
131,CZCE：PX：主力合约,2024/04/03,8848,8896,8776,8818,8830,71172,81335,
132,CZCE：PX：主力合约,2024/04/08,8770,8782,8678,8736,8734,40803,79488,
133,CZCE：PX：主力合约,2024/04/09,8750,8810,8658,8674,8728,57880,80225,
134,CZCE：PX：主力合约,2024/04/10,8684,8728,8666,8678,8700,39996,81357,
135,CZCE：PX：主力合约,2024/04/11,8678,8702,8612,8624,8650,59187,77212,
136,CZCE：PX：主力合约,2024/04/12,8626,8666,8570,8608,8612,49897,76164,
137,CZCE：PX：主力合约,2024/04/15,8632,8718,8608,8684,8674,65170,77153,
138,CZCE：PX：主力合约,2024/04/16,8684,8850,8674,8776,8752,109741,82472,
139,CZCE：PX：主力合约,2024/04/17,8772,8818,8732,8762,8776,57665,81575,
140,CZCE：PX：主力合约,2024/04/18,8762,8762,8588,8616,8660,84993,73963,
141,CZCE：PX：主力合约,2024/04/19,8610,8738,8552,8622,8640,97234,71202,
142,CZCE：PX：主力合约,2024/04/22,8620,8660,8584,8630,8626,45689,76971,
143,CZCE：PX：主力合约,2024/04/23,8618,8646,8580,8580,8610,41652,76048,
144,CZCE：PX：主力合约,2024/04/24,8570,8626,8530,8578,8584,43536,77893,
145,CZCE：PX：主力合约,2024/04/25,8582,8592,8446,8480,8510,71471,84531,
146,CZCE：PX：主力合约,2024/04/26,8494,8534,8456,8514,8498,40973,84007,
147,CZCE：PX：主力合约,2024/04/29,8530,8560,8468,8484,8508,43137,84420,
148,CZCE：PX：主力合约,2024/04/30,8530,8530,8458,8468,8486,33688,83016,
149,CZCE：PX：主力合约,2024/05/06,8378,8402,8334,8360,8360,39227,92605,
150,CZCE：PX：主力合约,2024/05/07,8368,8414,8362,8406,8388,36528,96388,
151,CZCE：PX：主力合约,2024/05/08,8390,8412,8346,8346,8378,42064,103808,
152,CZCE：PX：主力合约,2024/05/09,8308,8390,8302,8346,8346,46154,104684,
153,CZCE：PX：主力合约,2024/05/10,8350,8376,8234,8362,8314,86890,115039,
154,CZCE：PX：主力合约,2024/05/13,8350,8380,8286,8312,8328,76436,114775,
155,CZCE：PX：主力合约,2024/05/14,8328,8366,8284,8302,8324,62821,116944,
156,CZCE：PX：主力合约,2024/05/15,8292,8354,8266,8344,8314,61777,121695,
157,CZCE：PX：主力合约,2024/05/16,8322,8398,8306,8394,8362,77073,120942,
