指标名称,涤纶短纤：1.56*38mm半光本白：市场价：中国（日）,涤纶短纤：1.56*38mm水刺型：市场价：江苏（日）,涤纶短纤：4D*51mm低熔点：市场价：华东地区（日）,涤纶短纤：原生中空7D加硅：市场价：华东地区（日）,涤纶短纤：1.56*38mm半光本白：基差：中国（日）,聚酯纤维短纤：产量：中国（周）,聚酯纤维短纤：产量：中国（月）,聚酯纤维短纤：产能利用率：中国（周）,聚酯纤维短纤：产能利用率：中国（月）,聚酯纤维短纤：损失量：中国（月）,聚酯纤维短纤：厂内权益库存可用天数：中国（周）,聚酯纤维短纤：生产企业：物理库存天数：中国（周）,聚酯纤维短纤：表观消费量：中国（月）,聚酯纤维短纤：产销率：中国（日）,聚酯纤维短纤：生产毛利：中国（日）,未梳的聚酯短纤（包括未经其他纺前加工的）：进口数量合计：全球→中国（月）,未梳的聚酯短纤（包括未经其他纺前加工的）：出口数量合计：中国→全球（月）
2009/01/09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/01/16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/01/23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,51.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/01/30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,52.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/02/06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/02/13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/02/20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/02/27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/02/28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,50.38,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/03/06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,51.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/03/13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/03/20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/03/27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,57.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/03/31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,55.88,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/04/03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
