指标名称,石脑油：国际市场：CFR价：日本（日）,石脑油：产量：中国（周）,石脑油：产量：中国（月）,石脑油：商业库存：新加坡（周）,石脑油：表观消费量：中国（月）,石脑油：重整装置：产能利用率：中国（周）,石脑油：进口数量合计：中国（月）,石脑油：出口数量合计：中国（月）
2001/03/13,268,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/03/15,260,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/03/20,256.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/03/27,266.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/03/28,262.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/03/29,260.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/04/04,249.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/04/05,257.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/04/09,253.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/04/11,266.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/04/12,270.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/04/26,261.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/05/11,261.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/05/17,269,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/05/21,281.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/05/22,279.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/05/23,277.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/05/24,277.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/05/25,273.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/05/28,272.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/05/31,267.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/06/01,266.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/06/04,270.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/06/05,269.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/06/06,270.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/06/07,270.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/06/08,267.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/06/11,274,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/06/12,270.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/06/13,271.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/06/14,267.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/06/15,271.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/06/18,267,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/06/19,262.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/06/20,255.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/06/21,246.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/06/22,253.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/06/25,254.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/06/26,255.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/06/27,247,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/06/28,238.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/06/29,242.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/07/02,244.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/07/03,235,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/07/04,235.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/07/05,237.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/07/06,239.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/07/09,243,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/07/10,238.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/07/11,230.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/07/12,221.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/07/13,223.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/07/16,223,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/07/17,227.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/07/18,223.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/07/19,223.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/07/20,224.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/07/23,228.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/08/15,228.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/08/16,227,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/08/17,225.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/08/20,217.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/08/21,222,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/08/22,226.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/08/23,221.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/08/24,223.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/08/27,225.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/08/28,224.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/08/29,229,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/08/30,226.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/08/31,228.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/09/03,234.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/09/04,235.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/09/05,233.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/09/06,233.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/09/07,234.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/09/10,233.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/09/11,234.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/09/12,242,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/09/13,237.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/09/14,248.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/09/17,255.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/09/18,247,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/09/19,237.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/09/20,234,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/09/21,232.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/09/24,218.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/09/25,201.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/09/26,199,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/09/27,206.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/10/08,201.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/10/09,201.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/10/10,203,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/10/11,206,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/10/12,210.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/10/15,200.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/10/16,202.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/10/17,202.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/10/18,195,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/10/19,196.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/10/22,201,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/10/23,195.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/10/24,191.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/10/25,197.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/10/26,194.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/10/29,197.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/10/30,194.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/10/31,192.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/11/01,189.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/11/02,184.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/11/05,180.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/11/06,176.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/11/07,171,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/11/08,180,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/11/09,190.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/11/12,194.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/11/13,183.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/11/15,169.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/11/16,165.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/11/19,161.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/11/20,164.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/11/21,171.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/11/22,172,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/11/23,178,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/11/26,167.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/11/27,163.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/11/28,162.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/11/29,164.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/11/30,161.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/12/03,164.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/12/04,173.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/12/05,175.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/12/06,174.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/12/07,167,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/12/10,167,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/12/11,164.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/12/12,161,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/12/13,163.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/12/14,164.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/12/18,173.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/12/19,177.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/12/20,178.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/12/21,177,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/12/24,176.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/12/27,187,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/12/28,185,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/01/02,173.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/01/03,184.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/01/04,186.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/01/07,189.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/01/08,187,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/01/09,181.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/01/11,182.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/01/14,176.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/01/15,171.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/01/16,168.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/01/17,174.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/01/18,173,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/01/21,173.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/01/22,171.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/01/23,174,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/01/24,177.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/01/25,184.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/01/28,194,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/01/29,192,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/01/30,184.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/01/31,185.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/02/01,187,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/02/04,192.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/02/05,185.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/02/06,190.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/02/07,187,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/02/08,196.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/02/18,195.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/02/19,193.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/02/20,194.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/02/21,194.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
