指标名称,涤纶长丝：DTY150D/48F：市场价：江浙地区（日）,涤纶长丝：POY150D/48F：市场价：江浙地区（日）,涤纶长丝：FDY150D/96F：市场价：江浙地区（日）,聚酯纤维长丝：产量：中国（周）,聚酯纤维长丝：产量：中国（月）,聚酯纤维长丝：中国企业：产能利用率（周）,涤纶长丝：损失量：中国（周）,聚酯纤维长丝：损失量：中国（月）,聚酯纤维长丝：DTY：厂内库存可用天数：中国（周）,聚酯纤维长丝：FDY：厂内库存可用天数：中国（周）,聚酯纤维长丝：POY：厂内库存可用天数：中国（周）,聚酯纤维长丝：表观消费量：中国（月）,聚酯纤维长丝：产销率：中国（日）,聚酯纤维长丝：DTY：生产毛利：中国（日）,聚酯纤维长丝：FDY：生产毛利：中国（日）,聚酯纤维长丝：POY：生产毛利：中国（日）,聚酯弹力丝：进口数量合计：中国（月）,聚酯弹力丝：出口数量合计：中国（月）
2010/01/05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,275,-76,-376,#N/A,#N/A
2010/01/06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,300,-1,-301,#N/A,#N/A
2010/01/07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,300,16,-284,#N/A,#N/A
2010/01/08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,300,85,-215,#N/A,#N/A
2010/01/11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,300,-1,-301,#N/A,#N/A
2010/01/12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,250,-44,-294,#N/A,#N/A
2010/01/13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,350,122,-278,#N/A,#N/A
2010/01/14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,350,121,-229,#N/A,#N/A
2010/01/15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,400,126,-274,#N/A,#N/A
2010/01/18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,350,115,-285,#N/A,#N/A
2010/01/19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,300,38,-312,#N/A,#N/A
2010/01/20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,300,249,-151,#N/A,#N/A
2010/01/21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,400,369,-31,#N/A,#N/A
2010/01/22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,400,420,20,#N/A,#N/A
2010/01/25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,375,537,62,#N/A,#N/A
2010/01/26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,375,597,122,#N/A,#N/A
2010/01/27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,375,774,199,#N/A,#N/A
2010/01/28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,425,871,346,#N/A,#N/A
2010/01/29,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,425,871,346,#N/A,#N/A
2010/02/01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,475,764,339,#N/A,#N/A
2010/02/02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,475,644,219,#N/A,#N/A
2010/02/03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,425,540,115,#N/A,#N/A
2010/02/04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,425,497,72,#N/A,#N/A
2010/02/05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,425,600,175,#N/A,#N/A
2010/02/08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,425,600,175,#N/A,#N/A
2010/02/09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,425,634,209,#N/A,#N/A
2010/02/10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,425,591,166,#N/A,#N/A
2010/02/20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,400,548,48,#N/A,#N/A
2010/02/21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,300,548,148,#N/A,#N/A
2010/02/22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,200,348,-2,#N/A,#N/A
2010/02/23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,200,399,24,#N/A,#N/A
2010/02/24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,200,390,15,#N/A,#N/A
2010/02/25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,200,407,32,#N/A,#N/A
2010/02/26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,200,570,195,#N/A,#N/A
2010/03/01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,350,587,62,#N/A,#N/A
2010/03/02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,425,682,107,#N/A,#N/A
2010/03/03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,350,650,150,#N/A,#N/A
2010/03/04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,400,720,170,#N/A,#N/A
2010/03/05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,400,754,104,#N/A,#N/A
2010/03/08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,300,751,101,#N/A,#N/A
2010/03/09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,300,631,-19,#N/A,#N/A
2010/03/10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,300,665,15,#N/A,#N/A
2010/03/11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,350,692,42,#N/A,#N/A
2010/03/12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,350,752,52,#N/A,#N/A
2010/03/15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,400,812,62,#N/A,#N/A
2010/03/16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,400,909,209,#N/A,#N/A
2010/03/17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,400,712,12,#N/A,#N/A
2010/03/18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,350,718,-32,#N/A,#N/A
